ip,requestRate,uniqueEndpoints,errorRate,uaLen,adminHits,label
182.106.171.70,284,10,0.021,21,32,0
128.251.31.28,225,10,0.018,97,24,0
68.128.55.12,193,10,0.010,11,14,1
66.201.85.108,234,10,0.021,91,21,0
244.210.10.190,150,10,0.020,72,16,0
228.30.203.1,269,10,0.019,11,27,0
197.153.104.173,155,10,0.006,91,11,0
252.14.61.226,248,10,0.024,98,39,0
82.227.136.77,155,10,0.006,72,14,0
53.215.110.174,385,10,0.023,11,41,0
45.101.208.36,223,10,0.022,91,21,0
27.230.18.105,378,10,0.019,97,37,0
241.11.67.234,252,10,0.024,97,21,0
245.75.10.214,157,10,0.051,91,14,0
71.5.201.254,183,10,0.027,97,19,0
58.164.166.234,275,10,0.011,97,33,0
30.151.243.113,370,10,0.032,72,45,0
170.199.227.167,229,10,0.009,72,25,0
17.247.14.214,209,10,0.010,21,11,0
119.153.16.230,222,10,0.027,21,23,0
97.135.60.46,267,10,0.011,98,20,0
155.143.246.239,318,10,0.025,97,34,0
246.184.129.212,374,10,0.016,97,33,0
195.244.17.144,371,10,0.024,11,43,0
249.212.29.58,325,10,0.012,97,31,0
156.89.130.151,265,10,0.026,98,26,0
76.169.193.84,400,10,0.022,97,36,0
146.208.35.75,399,10,0.010,21,34,0
13.5.57.228,275,10,0.011,98,24,0
86.17.98.64,339,10,0.044,21,38,0
125.160.249.252,236,10,0.021,98,27,0
204.91.108.222,195,10,0.021,21,15,0
16.132.120.229,276,10,0.029,72,31,0
93.56.49.113,325,10,0.022,11,35,0
44.14.207.248,161,10,0.019,91,14,0
24.53.168.180,233,10,0.026,98,23,0
173.67.62.166,345,10,0.012,91,37,0
186.87.82.149,323,10,0.022,98,25,0
245.147.106.135,293,10,0.020,21,26,0
42.151.91.160,159,10,0.000,97,19,0
202.126.227.199,288,10,0.024,72,29,0
192.252.196.120,313,10,0.006,21,25,0
30.70.112.149,174,10,0.029,21,19,0
175.62.184.140,272,10,0.022,91,29,0
211.104.105.66,349,10,0.003,72,32,0
215.110.161.201,367,10,0.022,21,34,0
161.223.253.200,342,10,0.012,91,36,0
112.136.28.69,385,10,0.018,97,23,0
112.218.12.214,385,10,0.021,98,45,0
255.55.217.211,241,10,0.017,21,23,0
52.103.186.43,345,10,0.012,98,40,1
31.123.15.16,267,10,0.011,98,31,1
50.106.213.149,173,10,0.017,21,13,0
154.61.140.236,353,10,0.017,21,22,0
123.19.121.177,353,10,0.011,98,44,0
95.58.110.182,249,10,0.036,97,12,0
75.183.252.0,161,10,0.037,97,16,0
197.189.247.185,277,10,0.007,21,29,1
94.185.158.106,346,10,0.012,21,36,0
39.129.58.231,189,10,0.021,11,17,0
176.162.101.183,328,10,0.021,21,23,0
132.235.88.211,245,10,0.029,11,21,0
45.128.99.80,207,10,0.010,21,21,0
34.30.247.154,222,10,0.018,72,19,0
98.171.72.239,261,10,0.019,11,24,0
8.123.128.55,188,10,0.021,98,18,0
231.162.178.210,151,10,0.033,98,13,0
159.147.89.139,249,10,0.020,11,24,0
108.34.246.85,153,10,0.013,97,15,0
76.198.69.150,232,10,0.009,21,19,0
241.117.219.67,267,10,0.022,72,27,0
3.110.161.142,362,10,0.028,21,35,0
148.79.106.67,316,10,0.019,98,26,0
203.133.107.19,338,10,0.012,21,34,0
5.54.192.12,343,10,0.020,98,43,0
246.204.25.184,391,10,0.015,21,50,0
198.151.135.189,161,10,0.025,98,21,0
29.147.133.37,222,10,0.005,11,29,0
85.25.216.154,209,10,0.019,97,16,0
219.49.72.50,224,10,0.022,91,20,0
46.203.163.121,185,10,0.022,91,12,0
102.95.87.251,328,10,0.018,11,28,0
133.195.130.119,252,10,0.020,11,24,0
3.170.134.98,269,10,0.015,91,30,0
32.67.135.160,250,10,0.012,91,23,0
196.59.12.139,366,10,0.019,21,41,0
101.146.52.188,156,10,0.013,91,21,0
221.91.233.89,382,10,0.008,21,40,0
63.183.242.6,277,10,0.029,72,32,0
122.162.66.150,157,10,0.019,11,7,0
109.21.224.34,215,10,0.005,97,15,0
11.103.193.204,207,10,0.024,21,17,1
250.181.41.184,307,10,0.016,91,38,0
116.219.112.11,396,10,0.013,21,38,0
198.118.42.33,168,10,0.012,11,11,0
151.174.145.73,215,10,0.019,11,18,0
163.70.223.73,190,10,0.016,97,11,0
96.78.59.218,202,10,0.015,98,20,0
190.169.32.130,374,10,0.024,91,33,0
194.205.27.169,319,10,0.019,97,30,0
41.198.233.107,284,10,0.035,72,29,0
233.109.157.189,222,10,0.018,21,24,0
57.93.123.12,189,10,0.000,98,19,0
229.82.247.192,344,10,0.029,72,33,0
3.45.160.216,340,10,0.032,11,31,0
188.219.198.67,213,10,0.033,11,15,0
39.13.201.168,211,10,0.028,97,23,0
31.182.37.142,203,10,0.020,98,16,0
155.57.42.187,313,10,0.006,11,29,0
118.60.129.60,293,10,0.010,91,27,0
199.9.129.140,205,10,0.010,91,24,0
209.176.110.191,175,10,0.040,98,18,0
46.197.150.183,257,10,0.012,72,28,0
219.98.48.164,384,10,0.013,21,39,0
253.147.241.218,158,10,0.006,21,15,0
151.178.98.112,307,10,0.020,91,25,0
219.47.11.8,310,10,0.016,98,28,0
51.69.149.191,210,10,0.029,91,24,0
43.48.252.60,260,10,0.031,97,27,0
146.249.136.9,214,10,0.019,91,24,0
224.144.174.187,181,10,0.011,91,11,1
111.69.136.237,263,10,0.011,21,26,0
189.107.251.157,235,10,0.017,98,28,0
199.122.129.129,159,10,0.025,98,13,0
106.160.125.77,273,10,0.029,11,30,0
56.147.84.189,234,10,0.013,97,24,0
217.157.247.16,397,10,0.015,11,38,0
222.99.81.248,284,10,0.021,97,30,0
41.94.47.0,153,10,0.013,98,10,0
224.122.16.99,271,10,0.004,21,20,0
191.110.71.192,305,10,0.020,72,27,0
92.117.234.82,154,10,0.026,72,16,0
18.160.255.35,390,10,0.018,11,52,0
241.68.117.57,165,10,0.024,97,16,0
244.130.47.79,233,10,0.017,21,17,0
184.5.227.244,290,10,0.024,21,23,0
73.244.30.98,285,10,0.004,97,33,0
123.251.136.173,296,10,0.030,21,35,0
177.13.80.95,303,10,0.026,98,25,0
252.128.176.74,359,10,0.019,72,44,0
135.98.10.32,274,10,0.022,97,27,0
63.179.174.253,213,10,0.014,72,22,0
92.71.94.85,378,10,0.013,97,42,0
99.160.74.32,328,10,0.006,98,23,0
200.41.241.126,209,10,0.019,91,21,0
146.168.131.165,394,10,0.015,97,48,0
202.82.211.69,309,10,0.003,11,33,0
146.5.110.56,198,10,0.035,72,24,0
120.93.166.107,167,10,0.036,11,18,0
27.15.232.38,176,10,0.017,98,15,0
73.52.184.151,297,10,0.034,98,26,0
69.185.153.42,272,10,0.015,91,23,0
78.81.83.229,220,10,0.009,98,21,0
27.166.113.247,400,10,0.028,97,43,0
232.246.22.68,188,10,0.016,72,20,0
75.68.24.235,323,10,0.009,91,29,0
89.141.43.125,259,10,0.019,72,28,0
148.34.12.81,383,10,0.026,91,35,0
215.199.231.19,331,10,0.024,72,31,0
133.149.214.129,182,10,0.022,21,22,0
218.13.145.221,274,10,0.018,11,37,0
166.186.164.119,155,10,0.032,97,18,0
3.17.232.140,395,10,0.025,72,40,0
123.103.255.215,193,10,0.005,91,20,0
131.227.79.160,312,10,0.013,97,25,0
213.135.216.214,344,10,0.015,98,39,0
146.184.178.111,167,10,0.024,11,18,0
105.198.114.20,218,213,1.000,11,218,1
164.93.120.23,157,5,0.268,98,95,1
4.196.152.163,525,1,0.038,11,0,0
178.239.52.79,205,203,1.000,98,205,1
161.192.146.212,215,214,1.000,30,215,1
115.10.113.116,164,5,0.293,34,99,1
124.78.173.237,508,1,0.053,21,0,0
188.60.226.212,230,226,1.000,30,230,1
248.176.73.168,235,233,1.000,91,235,1
161.235.61.141,167,5,0.299,34,101,1
183.210.75.55,543,1,0.048,25,0,0
16.87.5.241,240,240,1.000,30,240,1
41.245.240.211,203,197,1.000,30,203,1
5.120.7.148,180,5,0.350,34,108,1
8.132.9.225,517,1,0.050,25,0,0
79.31.142.174,216,213,1.000,98,216,1
235.176.22.172,235,232,1.000,30,235,1
192.182.221.45,166,5,0.289,34,100,1
10.4.246.96,538,1,0.028,21,0,0
61.53.232.217,244,241,1.000,30,244,1
22.34.49.103,224,221,1.000,30,224,1
209.155.177.156,166,5,0.301,34,100,1
182.236.86.24,511,1,0.049,25,0,0
47.9.196.163,218,216,1.000,30,218,1
20.5.143.21,214,211,1.000,98,214,1
22.134.118.235,163,5,0.294,34,99,1
25.104.245.134,514,1,0.043,97,0,0
184.115.50.29,226,221,1.000,72,226,1
144.63.92.68,202,202,1.000,98,202,1
155.107.135.228,158,5,0.266,97,96,1
187.236.93.83,508,1,0.053,25,0,0
97.189.76.202,213,211,1.000,91,213,1
140.232.238.48,212,212,1.000,91,212,1
2.142.195.250,160,5,0.319,34,96,1
97.119.64.194,530,1,0.042,25,0,0
51.46.4.6,214,210,1.000,30,214,1
137.220.46.67,216,212,1.000,30,216,1
16.26.221.147,160,5,0.287,34,96,1
158.69.82.25,532,1,0.056,25,0,0
153.204.14.78,209,206,1.000,30,209,1
137.182.14.90,208,206,1.000,30,208,1
71.48.165.38,169,5,0.260,72,102,1
227.147.183.101,516,1,0.045,25,0,0
118.240.192.251,211,209,1.000,97,211,1
130.177.27.221,214,208,1.000,30,214,1
47.101.71.169,159,5,0.333,34,96,1
13.132.26.110,521,1,0.044,11,0,0
59.85.186.162,227,224,1.000,30,227,1
56.152.189.125,217,214,1.000,11,217,1
88.112.242.118,160,5,0.294,97,96,1
21.56.67.90,510,1,0.067,25,0,0
211.7.139.32,227,222,1.000,91,227,1
126.103.31.12,217,213,1.000,30,217,1
194.208.93.175,170,5,0.312,34,102,1
56.53.251.190,524,1,0.042,72,0,0
61.52.105.53,216,215,1.000,30,216,1
255.108.232.50,214,212,1.000,30,214,1
127.22.106.73,179,5,0.358,97,108,1
34.245.195.148,521,1,0.060,25,0,0
16.255.201.99,210,207,1.000,72,210,1
83.156.137.168,225,225,1.000,30,225,1
88.166.78.160,167,5,0.263,34,101,1
231.248.139.83,512,1,0.059,25,0,0
196.63.120.30,218,216,1.000,30,218,1
198.45.162.59,218,216,1.000,30,218,1
254.76.70.175,178,5,0.354,72,108,1
214.144.80.214,540,1,0.046,72,0,0
180.95.72.171,217,216,1.000,98,217,1
105.246.186.5,209,206,1.000,30,209,1
234.45.223.196,162,5,0.340,11,98,1
216.92.20.150,542,1,0.037,21,0,0
17.188.68.89,221,220,1.000,91,221,1
118.207.70.158,215,210,1.000,30,215,1
233.200.42.81,164,5,0.329,34,99,1
215.116.157.54,517,1,0.046,25,0,0
45.147.66.100,210,208,1.000,30,210,1
48.210.156.177,223,221,1.000,30,223,1
25.227.97.71,156,5,0.301,34,94,1
187.12.198.85,522,1,0.048,72,0,0
213.37.251.234,211,209,1.000,97,211,1
110.199.148.114,220,215,1.000,30,220,1
42.229.228.28,170,5,0.282,34,102,1
54.107.41.35,506,1,0.059,25,0,0
135.50.247.84,229,226,1.000,30,229,1
124.3.193.168,215,213,1.000,30,215,1
171.45.32.147,165,5,0.291,98,99,1
185.199.45.100,518,1,0.042,25,0,0
93.37.127.181,208,206,1.000,30,208,1
27.46.206.220,221,215,1.000,97,221,1
67.14.126.129,173,5,0.312,11,105,1
90.140.8.84,510,1,0.037,25,0,0
100.150.95.49,227,226,1.000,30,227,1
170.30.211.41,208,206,1.000,30,208,1
133.251.180.190,165,5,0.279,34,99,1
244.191.72.194,511,1,0.053,25,0,0
68.84.115.30,231,228,1.000,11,231,1
51.121.84.96,210,208,1.000,30,210,1
36.205.255.134,168,5,0.256,98,102,1
33.20.214.81,539,1,0.050,25,0,0
93.199.213.254,232,229,1.000,30,232,1
164.107.135.211,209,203,1.000,30,209,1
179.208.152.175,171,5,0.333,97,103,1
44.34.235.198,529,1,0.055,25,0,0
246.180.156.252,227,224,1.000,72,227,1
254.106.55.189,227,224,1.000,72,227,1
208.196.65.184,171,5,0.345,34,103,1
254.194.245.211,533,1,0.043,25,0,0
41.181.137.242,213,211,1.000,30,213,1
199.193.207.241,207,204,1.000,30,207,1
51.190.213.147,171,5,0.292,72,103,1
168.224.155.46,502,1,0.052,11,0,0
216.67.46.165,230,229,1.000,11,230,1
216.162.24.10,219,215,1.000,30,219,1
208.139.108.112,166,5,0.271,97,100,1
64.142.132.20,545,1,0.059,25,0,0
229.34.193.58,228,224,1.000,97,228,1
182.181.9.168,219,216,1.000,98,219,1
182.204.24.20,174,5,0.276,91,105,1
154.6.186.137,506,1,0.049,25,0,0
249.157.81.152,216,213,1.000,30,216,1
179.140.217.148,236,233,1.000,30,236,1
52.111.130.195,156,5,0.295,11,94,1
177.56.113.86,528,1,0.047,25,0,0
187.137.52.48,227,223,1.000,72,227,1
169.177.183.209,204,201,1.000,30,204,1
7.142.147.0,168,5,0.298,98,102,1
89.176.232.172,527,1,0.055,25,0,0
142.65.241.80,218,216,1.000,30,218,1
76.162.182.60,210,205,1.000,30,210,1
227.0.236.168,167,5,0.293,34,101,1
244.74.31.67,517,1,0.060,25,0,0
94.178.55.221,206,202,1.000,30,206,1
49.135.80.143,221,221,1.000,30,221,1
148.76.114.241,167,5,0.335,98,101,1
45.22.36.184,538,1,0.065,72,0,0
150.53.139.177,225,219,1.000,21,225,1
78.250.140.11,236,233,1.000,30,236,1
139.88.193.29,168,5,0.304,21,102,1
61.241.84.199,510,1,0.047,25,0,0
63.163.37.47,217,214,1.000,30,217,1
171.50.193.108,208,208,1.000,30,208,1
238.38.156.55,176,5,0.267,34,106,1
137.28.236.243,516,1,0.050,97,0,0
227.18.218.85,213,208,1.000,30,213,1
135.57.140.96,221,219,1.000,97,221,1
67.247.38.27,166,5,0.295,34,100,1
85.198.183.134,516,1,0.066,91,0,0
197.84.143.28,222,220,1.000,11,222,1
31.70.179.23,222,219,1.000,30,222,1
164.111.38.155,180,5,0.322,98,108,1
239.16.120.251,512,1,0.055,25,0,1
92.225.71.210,219,216,1.000,97,219,1
40.56.92.133,220,218,1.000,30,220,1
45.139.228.11,156,5,0.295,34,94,1
104.245.99.213,543,1,0.035,25,0,0
98.17.123.79,221,217,1.000,30,221,1
103.127.63.239,250,247,1.000,98,250,1
27.16.50.138,169,5,0.296,97,102,1
116.124.34.165,508,1,0.051,25,0,0
171.243.177.81,213,209,1.000,30,213,1
112.182.219.249,228,226,1.000,30,228,1
94.50.166.97,164,5,0.354,34,99,1
235.157.115.231,511,1,0.074,25,0,0
81.234.214.139,204,203,1.000,30,204,1
205.64.92.251,212,211,1.000,97,212,1
170.43.242.156,164,5,0.305,34,99,1
191.233.186.91,537,1,0.047,25,0,0
150.12.216.206,219,214,1.000,97,219,1
89.64.201.76,235,231,1.000,30,235,1
180.10.249.206,154,5,0.299,34,93,1
57.19.187.1,512,1,0.057,25,0,0
192.157.12.42,200,197,1.000,30,200,1
223.156.112.64,212,209,1.000,30,212,1
98.3.160.103,159,5,0.277,97,96,1
109.168.40.66,509,1,0.045,25,0,0
226.177.48.117,232,229,1.000,30,232,1
238.14.90.218,211,209,1.000,30,211,1
45.64.131.251,163,5,0.399,98,99,1
42.87.45.28,577,1,0.061,25,0,0
137.163.97.5,230,228,1.000,30,230,1
25.84.255.218,207,205,1.000,30,207,1
228.75.123.251,162,5,0.284,72,98,1
37.214.23.0,541,1,0.048,11,0,0
68.67.189.197,220,218,1.000,30,220,1
47.123.236.26,214,211,1.000,30,214,1
12.126.44.191,174,5,0.270,91,105,1
143.27.200.200,520,1,0.044,25,0,0
238.156.116.11,240,239,1.000,30,240,1
200.146.121.244,204,201,1.000,30,204,1
229.42.170.43,159,5,0.340,34,96,1
60.83.94.101,504,1,0.077,97,0,0
5.4.204.18,216,211,1.000,21,216,1
237.118.182.129,231,220,1.000,30,231,1
185.34.215.235,161,5,0.286,11,97,1
20.222.137.205,528,1,0.047,25,0,0
42.151.90.243,213,210,1.000,30,213,1
164.135.239.188,209,207,1.000,21,209,1
125.47.199.209,166,5,0.331,21,100,1
180.199.155.22,512,1,0.041,25,0,0
69.239.212.98,218,214,1.000,91,218,1
